"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"A",0.00111256544502618,0.000924477314748969,0.0897865962458069,0.0246585455887781,0.0879444217409072,0.0557031450852687,0.0789007092198582,0.0926648859667146,0.121230896323833,0.0422985781990521,0.0214585834333734,0.11685393258427,0.019891816436922,0.0629524018425093,0.00912778904665314,0.256997455470738,0.147760115606936,0.0899784482758621,0.192328767123288,0.187868080094229,0.0116696588868941
"B",0.000261780104712042,0.00113781823353719,0.138034401541646,0.0702104097452935,0.0736411932979158,0.0576741794498243,0.0665878644602049,0.0843435381138278,0.0741429161503511,0.0393364928909953,0.00570228091236495,0.130497592295345,0.0179724306403769,0.0537398552314104,0.00202839756592292,0.094147582697201,0.149566473988439,0.131465517241379,0.198904109589041,0.0253239104829211,0.00448833034111311
"C",0.0024869109947644,0.00156450007111364,0.0834344443651417,0.0889627168696936,0.155700858193707,0.0624732196417859,0.126970055161545,0.0815697554961989,0.20239570425444,0.0390995260663507,0.03031212484994,0.197271268057785,0.0253009945908218,0.0715069094099583,0.00304259634888438,0.276717557251908,0.15028901734104,0.141702586206897,0.152328767123288,0.351590106007067,0.00897666068222621
"D",0.00294502617801047,0.00640022756364671,0.264220969238456,0.0942783314876338,0.0141397629750715,0.0482474933584712,0.300925925925926,0.100575303061434,0.154688145394465,0.0466824644549763,0.00495198079231693,0.13338683788122,0.110451928110277,0.0910287343715727,0.0306795131845842,0.00127226463104326,0.163656069364162,0.310344827586207,0.133150684931507,0.0188457008244994,0.0215439856373429
"E",0.00307591623036649,0.00248897738586261,0.123331667975162,0.124252491694352,0.146465059256232,0.0832119290427629,0.0325059101654846,0.104068214505856,0.0585501858736059,0.0517772511848341,0.491896758703481,0.107223113964687,0.0727621706508463,0.0811581487168239,0.0415821501014199,0.351781170483461,0.171604046242775,0.025323275862069,0.151780821917808,0.248527679623086,0.00807899461400359
"F",0.00346858638743455,0.00874697767031717,0.163728499036471,0.296862310815799,0.00367797302819779,0.0601593966920902,0.134062253743105,0.136942675159236,0.0397562990499793,0.0479857819905213,0.348289315726291,0.0813804173354735,0.169429418949573,0.100460627330555,0.029158215010142,0.00381679389312977,0.165823699421965,0.0183189655172414,0.14958904109589,0.0265017667844523,0.0161579892280072
"G_1",0.401505235602094,0.00106670459394112,0,0,0,8.56971462850287e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706713780918728,0
"G_2",0.488743455497382,0,0,0,0,8.56971462850287e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530035335689046,0
"H",0.07532722513089,0.929241928601906,0,0,0,0.00162824577941555,0,0,0,0.000592417061611374,0,0.000160513643659711,0,0.532134239964905,0.000760649087221095,0,0.0227601156069364,0,0.0219178082191781,0.0212014134275618,0
"I",0.0134816753926702,0.0398236381738017,0,0,0.00277891295463833,0.250921244322564,0,0.00215738648037806,0,0.654857819905213,0,0,0.482114814168557,0.00263215617459969,0.318711967545639,0,0.00830924855491329,0,0,0.0111896348645465,0.702872531418312
"J",0.00569371727748691,0.0041957047361684,0.000214117479123546,0.000369139904023625,0.0146301593788312,0.195732282115006,0,0.36562564207931,0.00516315572077654,0.0696682464454976,0.000900360144057623,0.138362760834671,0.0420519979061246,0.00438692695766615,0.24290060851927,0.0022264631043257,0.0202312138728324,0.0113146551724138,0,0.0959952885747939,0.226211849192101
"L_1",0.000981675392670157,0.00248897738586261,0.0662336735422168,0.154005167958656,0.243154883530854,0.0898963064529951,0.124113475177305,0.0152044380521882,0.173895084675754,0.0042654028436019,0.0492196878751501,0.0487961476725522,0.0322805793055313,0,0.153144016227181,0.00572519083969466,0,0.122306034482759,0,0,0
"L_2",0.000916230366492147,0.00192006826909401,0.071015630575976,0.14640088593577,0.257866775643645,0.0941811637672466,0.135933806146572,0.0168481610848572,0.170177612556795,0.00343601895734597,0.0472689075630252,0.0460674157303371,0.0277438492409702,0,0.168864097363083,0.00731552162849873,0,0.149245689655172,0,0.000588928150765607,0
