"feature.4","background"
"102_MNX1","H1"
"103_MNX1","H1"
"110_WT","H1"
"111_WT","H1"
"112_PDX1","H1"
"117_QSER1TET1","H1"
"118_QSER1TET1","H1"
"119_QSER1","H1"
"120_QSER1","H1"
"121_PROSER1","H1"
"122_TET1","H1"
"123_NANOGehet","H1"
"124_NANOGehet","H1"
"125_HHEXe","H1"
"127_HHEXe","H1"
"128_WT111","H1"
"129_WT111","H1"
"130_WT111","H1"
"131_WT111","H1"
"132_WT111","H1"
"133_WT111","H1"
"134_WT111","H1"
"135_WT111","H1"
"136_WT111","H1"
"137_WT111","H1"
"138_WT111","H1"
"139_WT111","H1"
"152_HNF4Ahet","H1"
"153_HNF4A","H1"
"33_FOXA1","H1"
"44_HHEX","H1"
"45_HHEX","H1"
"46_HHEXhet","H1"
"47_WT","H1"
"51_FOXA1","H1"
"56_FOXA1","H1"
"63_BCOR","H1"
"64_KDM2B","H1"
"65_OTUD5","H1"
"66_OTUD5","H1"
"67_FOXA2","H1"
"68_FOXA2","H1"
"69_NGN3","H1"
"70_NGN3","H1"
"70_NGN3-alt1","H1"
"71_GSC","H1"
"72_GSC","H1"
"73_BMPR1A","H1"
"74_BMPR1A","H1"
"75_TLE3","H1"
"76_TLE3","H1"
"79_ONECUT1e","H1"
"80_GATA6het","H1"
"81_GATA6het","H1"
"82_GATA6","H1"
"83_GATA6","H1"
"84_GATA4het","H1"
"85_GATA4het","H1"
"86_GATA4","H1"
"87_GATA4","H1"
"88_NKX2-2","H1"
"92_NEUROD1","H1"
"93_NEUROD1","H1"
"94_PAX6","H1"
"95_NKX2-2","H1"
"98_RFX6","H1"
"99_RFX6","H1"
"107_TET1/2/3","HUES8"
"108_MNX1","HUES8"
"109_TET1/2/3","HUES8"
"114_PDX1het","HUES8"
"115_PDX1","HUES8"
"12_PAX6","HUES8"
"12_PAX6-alt1","HUES8"
"140_WT4","HUES8"
"141_WT4","HUES8"
"142_WT4","HUES8"
"143_WT4","HUES8"
"144_WT4","HUES8"
"145_WT4","HUES8"
"146_WT4","HUES8"
"147_WT4","HUES8"
"148_WT4","HUES8"
"149_WT4","HUES8"
"15_NKX2-2","HUES8"
"150_WT4","HUES8"
"151_WT4","HUES8"
"17_ARX","HUES8"
"24_GATA6het","HUES8"
"27_GATA4","HUES8"
"30_FOXA2","HUES8"
"31_FOXA2","HUES8"
"37_RFX6","HUES8"
"38_GLIS3","HUES8"
"39_GLIS3","HUES8"
"42_HHEX","HUES8"
"43_HHEX","HUES8"
"5_PDX1","HUES8"
"57_OTUD5","HUES8"
"58_OTUD5","HUES8"
"59_TADA2B","HUES8"
"77_ONECUT1e","HUES8"
"78_ONECUT1e","HUES8"
"96_PBX1","HUES8"
"97_PBX1","HUES8"
